"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
"2023-06-01",132,yandex,cpc,freemium,2187054,3636,25,1654810
"2023-06-01",97,yandex,cpc,prof-frontend,4228212,7992,12,1057000
"2023-06-01",85,yandex,cpc,prof-python,2146690,3900,8,680246
"2023-06-01",37,yandex,cpc,base-python,350672,616,7,476021
"2023-06-01",99,vk,cpc,prof-python,146016,80,5,355564
"2023-06-01",130,vk,cpc,freemium-frontend,255960,176,5,338083
"2023-06-01",64,yandex,cpc,prof-java,1445010,2744,4,284590
"2023-06-01",54,yandex,cpc,base-frontend,740501,1394,3,268515
"2023-06-01",87,vk,cpc,prof-java,161980,96,2,232726
"2023-06-01",17,yandex,cpc,prof-data-analytics,141204,308,2,220264
"2023-06-01",25,yandex,cpc,prof-professions-brand,62634,117,3,154287
"2023-06-20",4,telegram,cpp,base-java,,1,1,151192
"2023-06-01",6,yandex,cpc,dod-php,23856,44,1,150255
"2023-06-01",4,yandex,cpc,base-professions-retarget,604,4,1,134100
"2023-06-25",110,admitad,cpa,admitad,,1,1,134100
